,鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,城市,總樓層數_數字
4,文山區,房地(土地+建物),臺北市文山區木柵路二段１０９巷１００弄４０號二樓,20.05,都市：其他:第二種住宅區。,,,1100721,土地2建物1車位0,二層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850925,41.03,1,0,1,有,有,5450000,132830,,0.0,0,其他增建；,RPXNMLLKQHGGFAA77DA,26.2,5.25,0.0,有,,Taipei,17
9,萬華區,房地(土地+建物),臺北市萬華區貴陽街二段１５２號十一樓之１,6.37,都市：其他:第四種商業區。,,,1100721,土地3建物1車位0,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941024,67.42,1,1,1,有,有,12800000,189855,,0.0,0,其他增建；,RPUOMLNJQHGGFBA77DA,37.81,6.44,0.0,有,,Taipei,14
10,大同區,房地(土地+建物)+車位,臺北市大同區延平北路三段５號四樓之１,9.65,都市：其他:聯合開發區(捷)。,,,1100705,土地3建物1車位1,四層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080625,121.67999999999999,3,2,2,有,有,28180000,231591,坡道機械,19.67,0,,RPXOMLRKQHGGFBA58DA,66.37,5.15,0.0,有,3.0,Taipei,19
13,中山區,房地(土地+建物)+車位,臺北市中山區雙城街３巷１８號十二樓,16.39,都市：其他:第肆種商業區(依都市計畫說明書圖規定辦理，始得作第肆種商業區使用)(原屬第參種商業區)。,,,1100726,土地1建物1車位1,十二層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090102,213.31,3,2,2,有,有,49020000,255390,坡道平面,31.94,2700000,,RPUOMLPJQHGGFCA08DA,107.52,11.81,0.0,有,,Taipei,18
14,中山區,房地(土地+建物)+車位,臺北市中山區雙城街３巷１８號十一樓,16.5,都市：其他:第肆種商業區(依都市計畫說明書圖規定辦理，始得作第肆種商業區使用)(原屬第參種商業區)。,,,1100726,土地1建物1車位2,十一層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090102,240.95,3,2,2,有,有,51700000,255279,坡道平面,59.58,5400000,,RPXOMLPJQHGGFCA38DA,107.52,11.81,0.0,有,,Taipei,18
34,士林區,房地(土地+建物)+車位,臺北市士林區環河北路三段１１９號七樓之１,9.12,都市：其他:第三種住宅區。,,,1100626,土地2建物2車位1,七層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0930518,85.67,2,1,1,有,有,11730000,136921,坡道機械,19.55,0,其他增建；,RPVNMLOLPHGGFEA28DA,44.56,0.0,0.0,有,11.0,Taipei,13
38,北投區,房地(土地+建物)+車位,臺北市北投區雙全街２０號五樓之１,10.55,都市：其他:第三種住宅區。,,,1100614,土地2建物1車位1,五層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960518,122.27,2,2,1,有,有,16880000,138055,升降平面,39.78,0,其他增建；,RPQQMLTKQHGGFEA58DA,55.57,5.54,0.0,有,13.0,Taipei,13
64,大安區,房地(土地+建物),臺北市大安區羅斯福路二段９３號二十五樓之１,3.3,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。,,,1100704,土地8建物1車位0,二十五層,二十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0790927,48.06,1,1,1,有,有,14000000,291303,,0.0,0,陽台外推；,RPWNMLTKQHGGFFA09EA,31.55,8.35,0.0,有,,Taipei,26
74,士林區,房地(土地+建物)+車位,臺北市士林區重慶北路四段２２２號十三樓之１,13.25,都市：其他:第三種住宅區。,,,1100719,土地2建物1車位1,十三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060413,103.53999999999999,1,1,1,有,有,18700000,206271,坡道機械,18.71,1200000,,RPWPMLTKQHGGFEA56EA,47.25,9.03,0.0,有,22.0,Taipei,14
76,松山區,房地(土地+建物),臺北市松山區民生東路五段１９０號十六樓之４,2.12,都市：其他:第三種商業區(民生社區特定專用區)。,,,1100716,土地1建物1車位0,十六層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0721229,25.1,1,0,1,有,有,6200000,247012,,0.0,0,,RPUNMLNJQHGGFDA97EA,18.11,3.41,0.0,有,,Taipei,16
80,中山區,房地(土地+建物)+車位,臺北市中山區吉林路６號三樓,64.31,都市：其他:第三之二種住宅區。,,,1100712,土地2建物1車位4,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1030530,546.66,0,0,3,有,有,118000000,293255,坡道平面,185.2,12000000,,RPRRMLTLOHGGFCA58EA,205.97,33.1,0.0,有,25.0,Taipei,15
90,北投區,房地(土地+建物)+車位,臺北市北投區溫泉路３７巷３０號四樓之７,5.84,都市：其他:第三種住宅區。,,,1100807,土地2建物1車位1,四層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941111,50.64,1,1,1,有,有,5700000,112559,坡道機械,19.86,0,夾層；,RPPPMLKKQHGGFEA47DA,17.23,0.32,0.0,有,,Taipei,13
108,松山區,房地(土地+建物),臺北市松山區復興北路１９１號九樓之１,15.04,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第參種住宅區及第參之貳種住宅區)。,,,1100630,土地1建物1車位0,九層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0731214,115.75999999999999,4,1,0,有,有,27880000,240843,,0.0,0,,RPWOMLKMOHGGFDA97DA,87.0,2.8,0.0,有,33.0,Taipei,16
112,中山區,房地(土地+建物),臺北市中山區林森北路４８３號六樓之５,4.44,都市：其他:第肆種商業區(依都市計畫說明書圖規定辦理，始得作第肆種商業區使用)(原屬第參種商業區)。,,,1100730,土地1建物1車位0,六層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0920122,43.16,0,0,0,無,有,8800000,203892,,0.0,0,,RPRPMLTLPHGGFCA38DA,23.49,2.99,0.0,有,,Taipei,14
120,中正區,房地(土地+建物)+車位,臺北市中正區衡陽路６９號三樓之３,5.54,都市：其他:第四種商業區。,,,1100725,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070625,84.09,2,2,1,有,有,20730000,272480,坡道機械,14.25,1700000,預售屋、或土地及建物分件登記案件；,RPXOMLQKQHGGFBA48DA,37.62,6.23,0.0,有,,Taipei,15
132,中正區,房地(土地+建物)+車位,臺北市中正區信義路二段１７９號十樓,12.38,都市：其他:第三種住宅區。,,,1100602,土地2建物1車位1,十層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0970820,130.94,3,2,2,有,有,49000000,374217,塔式車位,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPXNMLSJOHGGFBA28DA,75.94,10.66,0.0,有,,Taipei,13
134,大同區,房地(土地+建物),臺北市大同區民權西路３００號八樓,7.57,都市：其他:特定專用區(供一般商業使用)。,,,1100722,土地1建物1車位0,八層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060314,77.25999999999999,2,1,1,有,有,16300000,210976,,0.0,0,,RPWNMLOJQHGGFBA97DA,42.44,9.47,0.0,有,40.0,Taipei,13
139,中山區,房地(土地+建物)+車位,臺北市中山區吉林路１３８號九樓,42.72,都市：其他:第貳種商業區(依都市計畫說明書圖規定辦理，始得作第貳種商業區使用)(原屬第參種住宅區)。,,,1100703,土地2建物1車位2,九層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990701,310.17999999999995,3,2,3,有,有,76000000,245019,坡道平面,77.96,0,其他增建；,RPSNMLNKPHGGFCA57DA,129.13,33.63,0.0,有,43.0,Taipei,13
146,中山區,房地(土地+建物)+車位,臺北市中山區五常街１１巷５號二樓之３,17.51,都市：其他:第三之一種住宅區。,,,1100723,土地2建物1車位1,二層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080918,150.10000000000002,2,2,1,有,有,27780000,229163,坡道平面,38.04,2100000,,RPVNMLPJQHGGFCA08DA,64.08,11.26,0.0,有,,Taipei,17
148,內湖區,房地(土地+建物)+車位,臺北市內湖區港墘路１２７巷１２號十三樓之２,22.85,都市：其他:第三種住宅區。,,,1100719,土地1建物1車位1,十三層，電梯樓梯間,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860806,150.57,3,2,2,有,有,29790000,197848,坡道平面,0.0,0,陽台外推；其他增建；,RPPOMLNLQHGGFCA57DA,119.96,12.5,0.0,有,,Taipei,15
154,中山區,房地(土地+建物),臺北市中山區新生北路三段１號三樓之１５,3.67,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第參種住宅區及第參之貳種住宅區) 但是否在第三種商業區(原屬第參之貳種住宅區於七十九年九月十三日變更為第貳種商業區又於八十四年九月二十七日調整為第參種商業區(均應依前述都市計畫說明書圖規定辦理))。,,,1100730,土地1建物1車位0,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0700122,36.75,1,1,1,有,有,6000000,163265,,0.0,0,,RPOPMLKKQHGGFCA17DA,25.81,0.0,0.0,有,,Taipei,14
156,信義區,房地(土地+建物),臺北市信義區信義路五段１２７號九樓之５,6.89,都市：其他:特定業務區(信義計畫特定專用區)。,,,1100712,土地1建物1車位0,九層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,0951229,43.28,1,1,1,有,有,11500000,265712,,0.0,0,,RPOOMLQKQHGGFDA77DA,24.16,4.44,0.0,有,48.0,Taipei,19
165,大安區,房地(土地+建物),臺北市大安區復興南路二段７８巷３０弄６號七樓,21.48,都市：其他:第三種住宅區。,,,1100731,土地1建物2車位0,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0760707,130.95000000000002,3,2,2,有,有,42300000,323024,,0.0,0,,RPSNMLQJQHGGFFA18DA,85.4,14.0,0.0,有,,Taipei,15
179,大安區,房地(土地+建物)+車位,臺北市大安區信義路二段２０２號七樓,19.5,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第參種住宅區)。,,,1100804,土地2建物1車位1,七層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1070305,281.2,0,1,2,有,有,100180000,398181,坡道平面,39.35,3880000,,RPSNMLNLQHGGFFA08DA,138.04,24.0,0.0,有,,Taipei,20
181,中山區,房地(土地+建物),臺北市中山區長春路３７８號十六樓之１,14.83,都市：其他:第貳種商業區(依都市計畫說明書圖規定辦理，始得作第貳種商業區使用)(原屬第參種住宅區)。,,,1100704,土地2建物1車位0,十六層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850710,137.39,3,2,2,有,有,29580000,215300,,0.0,0,,RPWRMLTLOHGGFCA09EA,78.59,11.9,0.0,有,,Taipei,16
183,內湖區,房地(土地+建物)+車位,臺北市內湖區內湖路二段２６５號五樓,15.8,都市：其他:第三種商業區。,,,1100302,土地1建物1車位1,五層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050601,176.07999999999998,2,2,1,有,有,39080000,243066,坡道平面,26.82,2800000,親友、員工、共有人或其他特殊關係間之交易；,RPOSMLTLOHGGFCA38EA,85.94,14.01,0.0,有,58.0,Taipei,13
186,內湖區,房地(土地+建物)+車位,臺北市內湖區民權東路六段２８０巷１５５弄１７號四樓,29.74,都市：其他:第三種住宅區。,,,1100810,土地1建物1車位2,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031231,267.06,5,2,2,有,有,51680000,223285,坡道平面,58.0,5000000,,RPVOMLNLQHGGFCA28EA,114.52,20.99,0.0,有,59.0,Taipei,14
194,士林區,房地(土地+建物)+車位,臺北市士林區中山北路六段１９５巷１５號三樓之２,51.34,都市：其他:第三種住宅區。,,,1100617,土地1建物1車位2,三層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1080403,378.54999999999995,3,2,4,有,有,97800000,292329,坡道平面,64.52,6000000,,RPQOMLNLQHGGFEA97EA,190.66,18.79,0.0,有,,Taipei,21
197,大安區,房地(土地+建物),臺北市大安區瑞安街８１巷１８號八樓,53.26,都市：其他:第三種住宅區。,,,1100615,土地1建物2車位0,八層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980213,319.64,3,2,2,有,有,106000000,331623,,0.0,0,,RPTNMLNLQHGGFFA28EA,162.83,47.94,0.0,有,,Taipei,13
199,大安區,房地(土地+建物),臺北市大安區和平東路三段１巷４０號八樓,19.94,都市：其他:第三種住宅區。,,,1100806,土地1建物1車位0,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0740522,104.08999999999999,3,1,1,有,有,25000000,240177,,0.0,0,,RPPOMLNLQHGGFFA97EA,75.58,8.63,0.0,有,,Taipei,15
206,北投區,房地(土地+建物)+車位,臺北市北投區中央北路二段３５０巷９０號三樓,54.88,都市：其他:第三種住宅區。,,,1100714,土地1建物1車位1,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040724,221.04000000000002,4,2,2,有,有,21000000,95005,坡道平面,0.0,0,車位每年抽籤一次,RPVOMLOLQHGGFEA58EA,120.53,11.81,0.0,有,67.0,Taipei,14
209,大安區,房地(土地+建物),臺北市大安區信義路二段１２號八樓之１,4.61,都市：其他:第三種住宅區。,,,1100724,土地2建物1車位0,八層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970908,49.58,1,0,1,有,有,17400000,350948,,0.0,0,,RPUNMLNKPHGGFFA18EA,27.1,1.04,0.0,有,,Taipei,13
222,中山區,房地(土地+建物),臺北市中山區新生北路二段３８號九樓之７,8.3,都市：其他:第肆種商業區(依都市計畫說明書圖規定辦理，始得作第肆種商業區使用)(原屬第參種商業區)。,,,1100709,土地1建物1車位0,九層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850718,80.71,2,2,1,有,有,17280000,214100,,0.0,0,陽台外推；,RPROMLMLPHGGFCA67EA,51.25,7.94,0.0,有,,Taipei,17
227,大同區,房地(土地+建物),臺北市大同區南京西路５７號十三樓之１５,4.91,都市：其他:聯合開發區(捷)(依都市計畫說明書圖規定辦理)。,,,1100726,土地1建物1車位0,十三層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080304,63.81999999999999,0,0,0,無,有,23000000,360389,,0.0,0,,RPPNMLPLQHGGFBA67EA,40.35,3.81,0.0,有,,Taipei,19
236,北投區,房地(土地+建物)+車位,臺北市北投區大度路三段２９９號十二樓之１,12.29,都市：其他:第三種住宅區。,,,1100717,土地3建物1車位1,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971013,120.16,2,1,1,有,有,15890000,132240,坡道平面,34.99,0,其他增建；,RPTQMLTKQHGGFEA88DA,50.88,6.31,0.0,有,,Taipei,14
267,內湖區,房地(土地+建物)+車位,臺北市內湖區星雲街１６１巷２號九樓之３,21.66,都市：其他:第三種住宅區。,,,1100718,土地1建物1車位1,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940712,138.92000000000002,4,2,2,有,有,28000000,254085,坡道平面,38.56,2500000,其他增建；,RPQNMLSKPHGGFCA87DA,65.79,6.59,0.0,有,,Taipei,14
271,萬華區,房地(土地+建物)+車位,臺北市萬華區桂林路１４７號十九樓,13.96,都市：其他:第肆種商業區(依都市計畫說明書圖規定辦理，始得作第肆種商業區使用)(原屬第參種商業區)。,,,1100726,土地1建物1車位1,十九層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0990211,176.2,3,2,2,有,有,29500000,167423,坡道機械,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPOMLNLQHGGFBA47DA,95.23,6.79,0.0,有,84.0,Taipei,19
276,萬華區,房地(土地+建物),臺北市萬華區康定路１０５號九樓之１６,4.46,都市：其他:第四種商業區。,,,1100705,土地1建物1車位0,九層,二十六層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1050331,66.12,1,1,1,有,有,12000000,181488,,0.0,0,,RPVNMLOJQHGGFBA87DA,39.94,3.73,0.0,有,85.0,Taipei,26
279,文山區,房地(土地+建物),臺北市文山區景興路１９５號十六樓之４,4.92,都市：其他:第三種商業區。,,,1100811,土地1建物1車位0,十六層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0831210,56.22,2,1,1,有,有,10980000,195304,,0.0,0,,RPPNMLSKQHGGFAA67DA,37.22,4.95,0.0,有,,Taipei,18
280,文山區,房地(土地+建物)+車位,臺北市文山區汀州路四段２７１號十一樓,35.61,都市：其他:第三種住宅區。,,,1100727,土地1建物1車位1,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0991104,180.18,3,2,2,有,有,10000000,55500,坡道平面,0.0,0,每戶一車位採二年乙次抽籤輪動方式分配依各棟大樓下方為基準親友、員工、共有人或其他特殊關係間之交易；,RPROMLQJQHGGFAA67DA,96.26,11.11,0.0,有,,Taipei,14
281,文山區,房地(土地+建物),臺北市文山區辛亥路四段７７巷９２弄９號六樓之１４,49.47,都市：其他:第二種住宅區。,,,1100327,土地3建物1車位0,六層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0920922,78.51,2,2,1,有,有,12400000,157942,,0.0,0,陽台外推；,RPVQMLQKQHGGFAA38DA,48.37,8.8,0.0,有,,Taipei,14
283,文山區,房地(土地+建物)+車位,臺北市文山區木柵路四段１５３號十四樓,19.92,都市：其他:市場用地(公共設施用地)。,,,1100515,土地1建物1車位1,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870910,152.86,3,2,2,有,有,22200000,145231,坡道平面,44.19,0,陽台外推；其他增建；,RPTNMLOJQHGGFAA57DA,74.15,10.07,0.0,有,,Taipei,14
285,中正區,房地(土地+建物)+車位,臺北市中正區水源路３９號九樓之２,16.23,都市：其他:第三種住宅區。,,,1100717,土地1建物1車位2,九層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0911202,116.35,2,2,1,有,有,19800000,170176,坡道平面,38.38,0,其他增建；,RPURMLOJQHGGFAA08DA,53.17,6.26,0.0,有,86.0,Taipei,13
296,大同區,房地(土地+建物),臺北市大同區五原路１９號八樓之３,3.76,都市：其他:第三種商業區。,,,1100808,土地1建物1車位0,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0981216,39.42,2,1,1,有,有,8380000,212529,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPWQMLOLQHGGFBA48DA,22.77,3.83,0.0,有,93.0,Taipei,14
300,內湖區,房地(土地+建物)+車位,臺北市內湖區民權東路六段２９６巷２８號六樓之１,28.17,都市：其他:第三種住宅區。,,,1100629,土地1建物1車位1,六層，電梯樓梯間,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850628,160.0,3,2,2,有,有,28500000,178125,坡道平面,0.0,0,陽台外推；其他增建；,RPRQMLNKQHGGFCA87DA,137.61,10.83,0.0,有,,Taipei,16
301,內湖區,房地(土地+建物)+車位,臺北市內湖區新豐街１５６號二樓之２,44.2,都市：其他:住宅區。,,,1100706,土地1建物1車位1,二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0991130,204.37,3,2,2,有,有,40460000,197974,坡道平面,39.27,0,,RPRPMLNLQHGGFCA87DA,94.93,18.81,0.0,有,,Taipei,14
309,松山區,房地(土地+建物),臺北市松山區民生東路五段１９８號十二樓之１,2.26,都市：其他:第三種商業區(民生社區特定專用區)。,,,1100626,土地1建物1車位0,十二層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0780629,34.65,0,0,0,無,有,7500000,216450,,0.0,0,其他增建；,RPUNMLKMOHGGFDA67DA,24.43,3.17,0.0,有,,Taipei,20
310,中山區,房地(土地+建物)+車位,臺北市中山區南京東路二段１９６號三樓,17.72,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第參種住宅區)。,,,1100728,土地2建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990528,195.91000000000003,3,2,2,有,有,52500000,267980,坡道機械,16.26,0,其他增建；,RPSQMLPLQHGGFCA28DA,108.23,8.56,0.0,有,,Taipei,15
312,南港區,房地(土地+建物)+車位,臺北市南港區經貿二路１５７巷３６弄１００號十二樓,48.24,都市：其他:住宅區(供商務住宅使用)。,,,1100629,土地1建物1車位2,十二層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030306,335.33000000000004,4,2,2,有,有,73500000,219187,坡道平面,90.34,0,,RPWPMLPJQHGGFDA48DA,148.87,24.78,0.0,有,96.0,Taipei,21
323,士林區,房地(土地+建物),臺北市士林區忠誠路一段１００巷１５弄１５號,28.16,都市：其他:第三種住宅區。,,,1100803,土地5建物1車位0,一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0770711,134.51,3,2,2,有,有,29710000,220859,,0.0,0,其他增建；,RPUNMLNLQHGGFEA18DA,101.71,10.47,0.0,有,,Taipei,15
325,北投區,房地(土地+建物),臺北市北投區中央北路二段３５０巷７８號十三樓,45.5,都市：其他:第三種住宅區。,,,1100717,土地1建物1車位0,十三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040724,183.36,3,2,2,有,有,25800000,140707,,0.0,0,其他增建；,RPUNMLOLQHGGFEA28DA,98.33,11.5,0.0,有,101.0,Taipei,14
336,大安區,房地(土地+建物),臺北市大安區和平東路二段２６５巷２５弄１號六樓,21.91,都市：其他:第三種住宅區。,,,1100605,土地1建物1車位0,六層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0740522,113.33,3,2,2,有,有,26080000,230124,,0.0,0,其他增建；,RPSOMLKMPHGGFFA87DA,84.65,10.07,0.0,有,,Taipei,17
341,中正區,房地(土地+建物),臺北市中正區開封街一段４８號三樓之１０,5.54,都市：其他:第四種商業區。,,,1100719,土地1建物1車位0,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0961025,54.019999999999996,1,1,1,有,有,12080000,223621,,0.0,0,,RPVNMLPLQHGGFBA28EA,34.83,0.0,0.0,有,,Taipei,14
355,信義區,房地(土地+建物),臺北市信義區松勤街９號十一樓之３,6.06,都市：其他:特定業務區(信義計畫特定專用區)。,,,1100721,土地1建物1車位0,十一層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,0961225,48.459999999999994,1,1,1,有,有,17800000,367313,,0.0,0,陽台外推；,RPRNMLPLQHGGFDA08EA,28.16,4.28,0.0,有,111.0,Taipei,19
359,大安區,房地(土地+建物),臺北市大安區和平東路二段２６５巷２５弄４號,28.75,都市：其他:第三種住宅區。,,,1100724,土地1建物1車位0,一層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0740522,148.06,4,2,2,有,有,31000000,209375,,0.0,0,,RPQQMLLLOHGGFFA87EA,111.02,12.52,0.0,有,,Taipei,17
360,北投區,房地(土地+建物),臺北市北投區大度路三段２７０巷６９號十四樓之１,11.68,都市：其他:交通用地(公共設施用地)。78/1/26,,,1100723,土地1建物1車位0,十四層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010217,65.42999999999999,1,1,1,有,有,10800000,165062,,0.0,0,,RPSOMLPLQHGGFEA38EA,37.45,5.74,0.0,有,114.0,Taipei,19
362,士林區,房地(土地+建物),臺北市士林區社正路３０號十樓,12.68,都市：其他:第一種商業區。,,,1100726,土地1建物1車位0,十層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090702,79.34,2,2,1,有,有,14500000,182758,,0.0,0,,RPRPMLPLQHGGFEA38EA,46.26,7.88,0.0,有,,Taipei,13
367,松山區,房地(土地+建物),臺北市松山區民生東路五段１９０號十三樓之６,3.81,都市：其他:第三種商業區(民生社區特定專用區)。,,,1100810,土地1建物1車位0,十三層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0721229,43.25,1,1,1,有,有,9080000,209942,,0.0,0,,RPOOMLQLQHGGFDA97EA,31.81,4.0,0.0,有,116.0,Taipei,16
369,中山區,房地(土地+建物)+車位,臺北市中山區松江路４２６號七樓之２,25.15,都市：其他:第三之二種住宅區。,,,1100719,土地4建物1車位2,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951221,260.35,3,2,1,有,有,50000000,192049,坡道平面,79.0,0,,RPPPMLQLQHGGFCA08EA,117.4,13.75,0.0,有,,Taipei,15
375,大安區,房地(土地+建物),臺北市大安區建國南路二段９９號十一樓,21.13,都市：其他:第三種住宅區。,,,1100802,土地1建物1車位0,十一層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0750415,108.82000000000001,3,2,2,有,有,27900000,256387,,0.0,0,陽台外推；,RPPNMLQLQHGGFFA08DA,75.83,10.82,0.0,有,,Taipei,13
376,文山區,房地(土地+建物)+車位,臺北市文山區秀明路二段１６９號三樓之２,46.38,都市：其他:第三種住宅區。,,,1100718,土地1建物1車位1,三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960329,228.78,4,2,3,有,有,36480000,176217,坡道平面,35.95,2500000,陽台外推；,RPTOMLRJOHGGFAA87EA,121.12,17.97,0.0,有,,Taipei,13
377,文山區,房地(土地+建物)+車位,臺北市文山區辛亥路四段７７巷４５號三樓,80.97,都市：其他:第二種住宅區。,,,1100726,土地4建物1車位2,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0851107,220.78,3,2,2,有,有,27800000,125917,坡道平面,0.0,4000000,陽台外推；其他增建；,RPXNMLRLQHGGFAA58EA,97.73,12.82,0.0,有,,Taipei,15
381,中正區,房地(土地+建物)+車位,臺北市中正區和平西路一段５９號三樓之３,4.43,都市：其他:第三種住宅區。,,,1100719,土地2建物1車位1,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,0970513,86.71000000000001,1,0,1,有,有,17200000,353938,坡道平面,46.59,3000000,其他增建；,RPQNMLLMQHGGFAA37EA,24.88,1.05,0.0,有,,Taipei,14
385,士林區,房地(土地+建物),臺北市士林區文林路５００號五樓之３,11.16,都市：其他:第一種商業區。,,,1100721,土地1建物1車位0,五層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020227,79.84,3,1,1,有,有,20300000,254259,,0.0,0,陽台外推；夾層；其他增建；,RPVPMLOLQHGGFEA58DA,46.8,8.04,0.0,有,121.0,Taipei,13
395,南港區,房地(土地+建物),臺北市南港區八德路四段８９５號十樓之６,6.06,都市：其他:第一種商業區。,,,1100712,土地1建物1車位0,十層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841219,60.06,2,1,1,有,有,11800000,196437,,0.0,0,陽台外推；,RPQNMLKKQHGGFDA27DA,33.87,7.38,0.0,有,,Taipei,16
